Triangle,Class,Latitude,Longitude,Encryption Time (s),Computation Time (s),Decryption Time (s),Denominator Time (s),Ground Truth Time (s),Total CKKS Time (s)
T3 (Scaled ×2.0),INSIDE,19.15402033199642,72.94624545982973,0.028292,0.002793,0.001474,1e-06,2e-06,0.03256
T3 (Scaled ×2.0),INSIDE,19.181067671060386,72.9834824027151,0.031124,0.002808,0.001448,1e-06,3e-06,0.035381
T3 (Scaled ×2.0),INSIDE,19.17145086014097,72.93872318049385,0.02306,0.002887,0.001461,1e-06,3e-06,0.027408
T3 (Scaled ×2.0),INSIDE,19.18152209400099,72.95561850366005,0.026781,0.002812,0.001474,1e-06,2e-06,0.031068
T3 (Scaled ×2.0),INSIDE,19.15540258390789,72.9512223724618,0.029657,0.002826,0.001453,0.0,3e-06,0.033936
T3 (Scaled ×2.0),INSIDE,19.17404955029124,72.96723538220398,0.030801,0.002816,0.001456,0.0,3e-06,0.035074
T3 (Scaled ×2.0),ON_BOUNDARY,19.173477815244222,72.93396367637585,0.032338,0.002819,0.001461,1e-06,2e-06,0.036618
T3 (Scaled ×2.0),ON_BOUNDARY,19.185238649591998,72.98986962598619,0.030891,0.002791,0.001477,1e-06,3e-06,0.03516
T3 (Scaled ×2.0),ON_BOUNDARY,19.17154460235375,72.93489160504855,0.020878,0.002796,0.001459,0.0,1e-06,0.025134
T3 (Scaled ×2.0),ON_BOUNDARY,19.186985855647265,72.95794112936414,0.030773,0.002819,0.001484,0.0,2e-06,0.035077
T3 (Scaled ×2.0),ON_BOUNDARY,19.158181324403895,72.95690413105001,0.030365,0.00277,0.001456,1e-06,2e-06,0.034593
T3 (Scaled ×2.0),ON_BOUNDARY,19.1798813794127,72.9308743656089,0.028438,0.002836,0.001472,0.0,3e-06,0.032746
T3 (Scaled ×2.0),ON_BOUNDARY,19.171624665065217,72.97326251257194,0.030557,0.002803,0.001458,0.0,2e-06,0.034818
T3 (Scaled ×2.0),ON_BOUNDARY,19.175962143392603,72.93276636666434,0.026414,0.002774,0.001455,1e-06,2e-06,0.030644
T3 (Scaled ×2.0),ON_BOUNDARY,19.18704686889338,72.96465700664375,0.027095,0.002781,0.001463,1e-06,3e-06,0.03134
T3 (Scaled ×2.0),ON_BOUNDARY,19.164977134614766,72.93806298613298,0.03229,0.002855,0.001447,0.0,2e-06,0.036592
T3 (Scaled ×2.0),ON_BOUNDARY,19.18094359522174,72.9303576328184,0.029353,0.002767,0.001445,1e-06,3e-06,0.033566
T3 (Scaled ×2.0),ON_BOUNDARY,19.161516909314138,72.96094451822503,0.02854,0.002786,0.00145,1e-06,3e-06,0.032777
T3 (Scaled ×2.0),ON_BOUNDARY,19.1867093641942,72.9309261737302,0.028592,0.00277,0.00147,1e-06,3e-06,0.032833
T3 (Scaled ×2.0),ON_BOUNDARY,19.17749372177916,72.98043525893245,0.031833,0.002813,0.001455,1e-06,3e-06,0.036102
T3 (Scaled ×2.0),ON_BOUNDARY,19.184743288103114,72.9892729325888,0.027352,0.002802,0.001455,1e-06,3e-06,0.03161
T3 (Scaled ×2.0),ON_BOUNDARY,19.187086160211226,72.96761540421498,0.030662,0.002779,0.001456,1e-06,2e-06,0.034897
T3 (Scaled ×2.0),ON_BOUNDARY,19.173919558688315,72.976067485474,0.027657,0.002782,0.001446,0.0,3e-06,0.031886
T3 (Scaled ×2.0),ON_BOUNDARY,19.18696888050099,72.95755507005163,0.032064,0.002798,0.001457,1e-06,3e-06,0.036319
T3 (Scaled ×2.0),ON_BOUNDARY,19.186713183360997,72.93137858568946,0.030968,0.002785,0.001466,0.0,2e-06,0.035219
T3 (Scaled ×2.0),ON_BOUNDARY,19.185056464128735,72.9896606081542,0.032729,0.002784,0.001456,1e-06,3e-06,0.03697
T3 (Scaled ×2.0),ON_BOUNDARY,19.152559614626618,72.9440580243459,0.032158,0.00284,0.001457,1e-06,3e-06,0.036456
T3 (Scaled ×2.0),ON_BOUNDARY,19.155228822825343,72.95328844029014,0.031249,0.00281,0.001446,1e-06,3e-06,0.035506
T3 (Scaled ×2.0),ON_BOUNDARY,19.18677857193415,72.93794779951357,0.029545,0.002817,0.001484,1e-06,2e-06,0.033847
T3 (Scaled ×2.0),ON_BOUNDARY,19.18715406492794,72.97447476346917,0.028848,0.002826,0.001693,1e-06,2e-06,0.033367
T3 (Scaled ×2.0),ON_BOUNDARY,19.17204169304059,72.93466818107068,0.030487,0.002817,0.001456,0.0,3e-06,0.03476
T3 (Scaled ×2.0),ON_BOUNDARY,19.150598218087637,72.945021972487,0.024776,0.002934,0.001491,1e-06,3e-06,0.029201
T3 (Scaled ×2.0),ON_BOUNDARY,19.149896548556935,72.94678451883887,0.031536,0.002914,0.001551,1e-06,2e-06,0.036002
T3 (Scaled ×2.0),ON_BOUNDARY,19.186365457273073,72.92775007658926,0.016766,0.0028,0.001494,1e-06,3e-06,0.02106
T3 (Scaled ×2.0),ON_BOUNDARY,19.149152147965044,72.9457150747819,0.028981,0.002861,0.001468,1e-06,3e-06,0.033311
T3 (Scaled ×2.0),ON_BOUNDARY,19.16375225987144,72.9386672427501,0.018638,0.002784,0.001455,0.0,1e-06,0.022877
T3 (Scaled ×2.0),OUTSIDE,19.139291469261874,72.96659256741522,0.03283,0.002796,0.001448,1e-06,3e-06,0.037075
T3 (Scaled ×2.0),OUTSIDE,19.152020908986426,72.98265181724048,0.032758,0.002787,0.001443,1e-06,2e-06,0.036989
T3 (Scaled ×2.0),OUTSIDE,19.16103903430736,72.93697010352791,0.031391,0.002806,0.001451,1e-06,3e-06,0.035649
T3 (Scaled ×2.0),OUTSIDE,19.188067777857512,72.96320801575973,0.031851,0.002813,0.001482,1e-06,2e-06,0.036147
T3 (Scaled ×2.0),OUTSIDE,19.143622718719744,72.9707082727012,0.029166,0.002809,0.001472,0.0,2e-06,0.033447
T3 (Scaled ×2.0),OUTSIDE,19.192632813378264,72.94440724321967,0.018294,0.002789,0.001452,0.0,1e-06,0.022535
T3 (Scaled ×2.0),OUTSIDE,19.187138353064434,72.95791240443074,0.029614,0.002834,0.001445,1e-06,3e-06,0.033894
