Triangle,Total Points,Class,Latitude,Longitude,Encryption Time (s),Computation Time (s),Decryption Time (s),Total CKKS Time (s)
T3 (Scaled ×2.0),200,INSIDE,19.162928958527125,72.95364033726939,0.026176,0.002807,0.001554,0.030538
T3 (Scaled ×2.0),200,OUTSIDE,19.1882143659888,72.97970561316451,0.031754,0.00289,0.001473,0.036119
T3 (Scaled ×2.0),200,OUTSIDE,19.187045558284183,72.9500528555152,0.034475,0.002764,0.001498,0.038738
T3 (Scaled ×2.0),200,OUTSIDE,19.15409821732891,73.00077748594738,0.030256,0.002801,0.001473,0.034531
T3 (Scaled ×2.0),200,OUTSIDE,19.171520503158526,72.98570590530083,0.032058,0.002785,0.001464,0.036308
T3 (Scaled ×2.0),200,OUTSIDE,19.192700931590753,72.94987219103159,0.03174,0.002794,0.001476,0.036011
T3 (Scaled ×2.0),200,INSIDE,19.16858603796279,72.96055905252176,0.030456,0.003001,0.001514,0.034972
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.187330999772108,72.99168008457227,0.031473,0.002796,0.001482,0.035752
T3 (Scaled ×2.0),200,INSIDE,19.17994885305655,72.97743666473153,0.033251,0.002866,0.001472,0.03759
T3 (Scaled ×2.0),200,OUTSIDE,19.16335856682745,72.9767791003625,0.032812,0.00294,0.001473,0.037225
T3 (Scaled ×2.0),200,INSIDE,19.167306391555076,72.95268235854564,0.030843,0.002808,0.001487,0.035139
T3 (Scaled ×2.0),200,OUTSIDE,19.174748623202547,72.98588649506377,0.033881,0.00278,0.001474,0.038136
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.181006111067944,72.93033352126079,0.031475,0.002789,0.001467,0.035732
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.158754956354244,72.9575930683242,0.032663,0.002818,0.001517,0.036999
T3 (Scaled ×2.0),200,INSIDE,19.181390746692628,72.94058385535635,0.030564,0.002795,0.001498,0.034857
T3 (Scaled ×2.0),200,INSIDE,19.162408320336503,72.95546589503094,0.020648,0.002793,0.001482,0.024924
T3 (Scaled ×2.0),200,INSIDE,19.171123455688985,72.94039559005994,0.030622,0.002825,0.001479,0.034927
T3 (Scaled ×2.0),200,INSIDE,19.159531095309923,72.95701479731565,0.029629,0.002841,0.001496,0.033966
T3 (Scaled ×2.0),200,INSIDE,19.163990372619867,72.94570985115212,0.0331,0.002803,0.001476,0.03738
T3 (Scaled ×2.0),200,INSIDE,19.181815802452096,72.96198794905517,0.032929,0.002865,0.001473,0.037268
T3 (Scaled ×2.0),200,INSIDE,19.175745162785095,72.94384737037701,0.028014,0.002825,0.001466,0.032305
T3 (Scaled ×2.0),200,OUTSIDE,19.152651444741263,72.95835731491204,0.029275,0.002779,0.001485,0.033539
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.18718880184493,72.9780202882866,0.030841,0.012073,0.001461,0.044376
T3 (Scaled ×2.0),200,OUTSIDE,19.163013619247582,72.98862920523273,0.031568,0.00282,0.001489,0.035877
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.152731591785717,72.9439916320045,0.029547,0.002864,0.001479,0.033891
T3 (Scaled ×2.0),200,OUTSIDE,19.16982560588848,72.91907597811367,0.033019,0.002865,0.001464,0.037348
T3 (Scaled ×2.0),200,OUTSIDE,19.14114746779267,72.92820778841372,0.029074,0.002815,0.001472,0.033361
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.1607876619648,72.96006040876212,0.032598,0.002795,0.001487,0.03688
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.187221844907832,72.98247982354557,0.032321,0.002818,0.001475,0.036614
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.187222520766063,72.98261809009398,0.032835,0.002796,0.001474,0.037105
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.183813017831557,72.9881272878873,0.030173,0.002833,0.001489,0.034496
T3 (Scaled ×2.0),200,OUTSIDE,19.16519716364037,72.91773682000228,0.030216,0.002781,0.001474,0.034472
T3 (Scaled ×2.0),200,INSIDE,19.158046099628663,72.9564516253973,0.034748,0.002786,0.001473,0.039008
T3 (Scaled ×2.0),200,OUTSIDE,19.14085279366611,72.92908136810337,0.03161,0.002838,0.001459,0.035907
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.152056844361194,72.9494190219302,0.033515,0.00281,0.001479,0.037804
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.160547501474955,72.959779461547,0.030298,0.002897,0.001462,0.034657
T3 (Scaled ×2.0),200,INSIDE,19.159371342163105,72.9441156693665,0.034661,0.002819,0.001471,0.038952
T3 (Scaled ×2.0),200,INSIDE,19.17198220169912,72.96488028143843,0.027682,0.002886,0.001487,0.032056
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.160620526238475,72.94016612179561,0.0329,0.002805,0.001468,0.037174
T3 (Scaled ×2.0),200,OUTSIDE,19.190576697035024,72.97672809354715,0.031646,0.00282,0.001496,0.035963
T3 (Scaled ×2.0),200,INSIDE,19.18285901003346,72.94795401717676,0.030354,0.002817,0.001465,0.034636
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.186971292526067,72.9577154652056,0.032894,0.002804,0.001464,0.037163
T3 (Scaled ×2.0),200,OUTSIDE,19.180027361449095,72.98550944924841,0.030938,0.002887,0.001475,0.035301
T3 (Scaled ×2.0),200,OUTSIDE,19.14793970796011,72.99661680143164,0.034068,0.002805,0.0015,0.038374
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.155530396130107,72.9426394620332,0.02898,0.002796,0.001483,0.033259
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.18168621095927,72.93000267994546,0.031443,0.002818,0.001479,0.035741
T3 (Scaled ×2.0),200,OUTSIDE,19.180999225259548,72.9288532653472,0.0286,0.00283,0.001462,0.032893
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.1737805514421,72.97590596336967,0.034959,0.002831,0.001467,0.039258
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.185796518901885,72.92803033061686,0.033765,0.0028,0.001471,0.038037
T3 (Scaled ×2.0),200,INSIDE,19.181862126909937,72.97858448110486,0.031776,0.002787,0.001482,0.036045
T3 (Scaled ×2.0),200,OUTSIDE,19.169900496299363,72.97222995639636,0.031072,0.00289,0.00147,0.035432
T3 (Scaled ×2.0),200,INSIDE,19.156773779753063,72.94588433254937,0.03033,0.002817,0.001479,0.034627
T3 (Scaled ×2.0),200,OUTSIDE,19.15535238658886,72.91856269181658,0.033266,0.00281,0.001488,0.037565
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.172518328959118,72.97437249321571,0.032618,0.00281,0.001479,0.036908
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.17216961047609,72.93459799100798,0.032045,0.002829,0.001484,0.036359
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.18685207583766,72.94510895739096,0.03051,0.002947,0.001484,0.034942
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.187103756193405,72.97086072559735,0.028148,0.002791,0.00162,0.032561
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.186733416253887,72.93420793989813,0.022678,0.002808,0.001495,0.026982
T3 (Scaled ×2.0),200,INSIDE,19.159356449397006,72.94584531574709,0.033929,0.002827,0.001487,0.038244
