Triangle,Class,Latitude,Longitude,GT_w1,GT_w2,GT_w3,CKKS_w1,CKKS_w2,CKKS_w3,Δw1,Δw2,Δw3,GT_Class,CKKS_Class
T1 (Default),OUTSIDE,19.152372112720904,72.95841393270275,-0.6021608237,0.1044283079,1.4977325157,-0.6021609044,0.1044283219,1.4977327166,0.0000000807,0.0000000140,0.0000002009,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.159178013961807,72.96392038199205,-0.5150146387,0.3743698702,1.1406447685,-0.5150147078,0.3743699204,1.1406449215,0.0000000691,0.0000000502,0.0000001530,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.16659161760464,72.93242825269648,0.7511992702,-0.4826771509,0.7314778807,0.7511993709,-0.4826772156,0.7314779788,0.0000001007,0.0000000647,0.0000000981,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.168016744485183,72.9779472789853,-0.6166540912,0.9360505717,0.6806035196,-0.6166541739,0.9360506972,0.6806036109,0.0000000827,0.0000001255,0.0000000913,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.169055785867215,72.9636669975589,-0.1309348961,0.5129922290,0.6179426671,-0.1309349137,0.5129922978,0.6179427500,0.0000000176,0.0000000688,0.0000000829,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.171856011985,72.96552430184973,-0.0823239170,0.6115216752,0.4708022418,-0.0823239281,0.6115217572,0.4708023049,0.0000000111,0.0000000820,0.0000000631,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.159386462058087,72.97031496492423,-0.7068588367,0.5737971147,1.1330617219,-0.7068589315,0.5737971917,1.1330618739,0.0000000948,0.0000000770,0.0000001520,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.190049239152156,72.9635186196597,0.6731694153,0.8195884248,-0.4927578401,0.6731695056,0.8195885347,-0.4927579062,0.0000000903,0.0000001099,0.0000000661,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.16069504986055,72.93406202074698,0.4756044424,-0.5199095978,1.0443051554,0.4756045062,-0.5199096675,1.0443052954,0.0000000638,0.0000000697,0.0000001400,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.185943467251647,72.96489635500137,0.4737704110,0.8010368767,-0.2748072877,0.4737704746,0.8010369841,-0.2748073246,0.0000000636,0.0000001074,0.0000000369,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.152516020425633,72.96363003369777,-0.7596442027,0.2667151452,1.4929290575,-0.7596443046,0.2667151810,1.4929292578,0.0000001019,0.0000000358,0.0000002003,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.163475704214253,72.96157957580627,-0.2782183682,0.3661960147,0.9120223536,-0.2782184056,0.3661960638,0.9120224759,0.0000000374,0.0000000491,0.0000001223,OUTSIDE,OUTSIDE
